lex
LEXENTRY:\tCSO\tCORSO\tWORD,TYPE\tDETACH
LEXENTRY:\tCSWY\tCAUSEWAY\tWORD,TYPE\tDETACH
LEXENTRY:\tCTR\tCENTRE\tWORD,TYPE\tDETACH
LEXENTRY:\tCT\tCOURT\tWORD,TYPE\tDETACH
LEXENTRY:\tCTYD\tCOURTYARD\tWORD,TYPE\tDETACH
LEXENTRY:\tCUL-DE-SAC\tCUL-DE-SAC\tWORD,TYPE\tDETACH
LEXENTRY:\tCUT\tCUT\tWORD,TYPE\tDETACH
LEXENTRY:\tCUTTING\tCUTTING\tWORD,TYPE\tDETACH
LEXENTRY:\tCUTT\tCUTTING\tWORD,TYPE\tDETACH
LEXENTRY:\tCUWY\tCRUISEWAY\tWORD,TYPE\tDETACH
LEXENTRY:\tDALE\tDALE\tWORD,TYPE\tDETACH
LEXENTRY:\tDASH\tDASH\tWORD,TYPE\tDETACH
LEXENTRY:\tDELL\tDELL\tWORD,TYPE\tDETACH
LEXENTRY:\tDENE\tDENE\tWORD,TYPE\tDETACH
LEXENTRY:\tDE\tDEVIATION\tWORD,TYPE\tDETACH
LEXENTRY:\tDEVIATION\tDEVIATION\tWORD,TYPE\tDETACH
LEXENTRY:\tDIP\tDIP\tWORD,TYPE\tDETACH
LEXENTRY:\tDISTRIBUTOR\tDISTRIBUTOR\tWORD,TYPE\tDETACH
LEXENTRY:\tDIVIDE\tDIVIDE\tWORD,TYPE\tDETACH
LEXENTRY:\tDIV\tDIVIDE\tWORD,TYPE\tDETACH
LEXENTRY:\tDOCK\tDOCK\tWORD,TYPE\tDETACH
LEXENTRY:\tDOMAIN\tDOMAIN\tWORD,TYPE\tDETACH
LEXENTRY:\tDOM\tDOMAIN\tWORD,TYPE\tDETACH
LEXENTRY:\tDOWNS\tDOWNS\tWORD,TYPE\tDETACH
LEXENTRY:\tDOWN\tDOWN\tWORD,TYPE\tDETACH
LEXENTRY:\tDRIVE\tDRIVE\tWORD,TYPE\tDETACH
LEXENTRY:\tDRIVEWAY\tDRIVEWAY\tWORD,TYPE\tDETACH
LEXENTRY:\tDR\tDRIVE\tWORD,TYPE\tDETACH
LEXENTRY:\tDSTR\tDISTRIBUTOR\tWORD,TYPE\tDETACH
LEXENTRY:\tDVWY\tDRIVEWAY\tWORD,TYPE\tDETACH
LEXENTRY:\tDWNS\tDOWNS\tWORD,TYPE\tDETACH
LEXENTRY:\tEASEMENT\tEASEMENT\tWORD,TYPE\tDETACH
LEXENTRY:\tEAST\tEAST\tWORD,TYPE\tDETACH
LEXENTRY:\tEDGE\tEDGE\tWORD,TYPE\tDETACH
LEXENTRY:\tELBOW\tELBOW\tWORD,TYPE\tDETACH
LEXENTRY:\tELB\tELBOW\tWORD,TYPE\tDETACH
LEXENTRY:\tEND\tEND\tWORD,TYPE\tDETACH
LEXENTRY:\tENTRANCE\tENTRANCE\tWORD,TYPE\tDETACH
LEXENTRY:\tENT\tENTRANCE\tWORD,TYPE\tDETACH
LEXENTRY:\tESMT\tEASEMENT\tWORD,TYPE\tDETACH
LEXENTRY:\tESPLANADE\tESPLANADE\tWORD,TYPE\tDETACH
LEXENTRY:\tESP\tESPLANADE\tWORD,TYPE\tDETACH
LEXENTRY:\tESTATE\tESTATE\tWORD,TYPE\tDETACH
LEXENTRY:\tEST\tESTATE\tWORD,TYPE\tDETACH
LEXENTRY:\tEXPRESSWAY\tEXPRESSWAY\tWORD,TYPE\tDETACH
LEXENTRY:\tEXP\tEXPRESSWAY\tWORD,TYPE\tDETACH
LEXENTRY:\tEXTENSION\tEXTENSION\tWORD,TYPE\tDETACH
LEXENTRY:\tEXTN\tEXTENSION\tWORD,TYPE\tDETACH
LEXENTRY:\tFAIRWAY\tFAIRWAY\tWORD,TYPE\tDETACH
LEXENTRY:\tFAWY\tFAIRWAY\tWORD,TYPE\tDETACH
LEXENTRY:\tFBRK\tFIREBREAK\tWORD,TYPE\tDETACH
LEXENTRY:\tFIREBREAK\tFIREBREAK\tWORD,TYPE\tDETACH
LEXENTRY:\tFIRELINE\tFIRELINE\tWORD,TYPE\tDETACH
LEXENTRY:\tFIRETRACK\tFIRETRACK\tWORD,TYPE\tDETACH
LEXENTRY:\tFIRETRAIL\tFIRETRAIL\tWORD,TYPE\tDETACH
LEXENTRY:\tFITR\tFIRETRAIL\tWORD,TYPE\tDETACH
LEXENTRY:\tFLATS\tFLATS\tWORD,TYPE\tDETACH
LEXENTRY:\tFLAT\tFLAT\tWORD,TYPE\tDETACH
LEXENTRY:\tFLNE\tFIRELINE\tWORD,TYPE\tDETACH
LEXENTRY:\tFLTS\tFLATS\tWORD,TYPE\tDETACH
LEXENTRY:\tFOLLOW\tFOLLOW\tWORD,TYPE\tDETACH
LEXENTRY:\tFOLW\tFOLLOW\tWORD,TYPE\tDETACH
LEXENTRY:\tFOOTWAY\tFOOTWAY\tWORD,TYPE\tDETACH
LEXENTRY:\tFORD\tFORD\tWORD,TYPE\tDETACH
LEXENTRY:\tFORESHORE\tFORESHORE\tWORD,TYPE\tDETACH
LEXENTRY:\tFORK\tFORK\tWORD,TYPE\tDETACH
