?column?
LEXENTRY:\tAFTERLEE\tAFTERLEE\tWORD,CITY\tDETACH
LEXENTRY:\tAGERY\tAGERY\tWORD,CITY\tDETACH
LEXENTRY:\tAGNES\tAGNES\tWORD,CITY\tDETACH
LEXENTRY:\tAGNES BANKS\tAGNES BANKS\tWORD,CITY\tDETACH
LEXENTRY:\tAGNES WATER\tAGNES WATER\tWORD,CITY\tDETACH
LEXENTRY:\tAINSLIE\tAINSLIE\tWORD,CITY\tDETACH
LEXENTRY:\tAIRDMILLAN\tAIRDMILLAN\tWORD,CITY\tDETACH
LEXENTRY:\tAIRDS\tAIRDS\tWORD,CITY\tDETACH
LEXENTRY:\tAIREYS INLET\tAIREYS INLET\tWORD,CITY\tDETACH
LEXENTRY:\tAIRLIE BEACH\tAIRLIE BEACH\tWORD,CITY\tDETACH
LEXENTRY:\tAIRLY\tAIRLY\tWORD,CITY\tDETACH
LEXENTRY:\tAIRPORT WEST\tAIRPORT WEST\tWORD,CITY\tDETACH
LEXENTRY:\tAIRVILLE\tAIRVILLE\tWORD,CITY\tDETACH
LEXENTRY:\tAITKENVALE\tAITKENVALE\tWORD,CITY\tDETACH
LEXENTRY:\tAJANA\tAJANA\tWORD,CITY\tDETACH
LEXENTRY:\tAKAROA\tAKAROA\tWORD,CITY\tDETACH
LEXENTRY:\tAKOLELE\tAKOLELE\tWORD,CITY\tDETACH
LEXENTRY:\tALABAMA HILL\tALABAMA HILL\tWORD,CITY\tDETACH
LEXENTRY:\tALAWA\tALAWA\tWORD,CITY\tDETACH
LEXENTRY:\tALAWOONA\tALAWOONA\tWORD,CITY\tDETACH
LEXENTRY:\tALBANVALE\tALBANVALE\tWORD,CITY\tDETACH
LEXENTRY:\tALBANY\tALBANY\tWORD,CITY\tDETACH
LEXENTRY:\tALBANY CREEK\tALBANY CREEK\tWORD,CITY\tDETACH
LEXENTRY:\tALBERT\tALBERT\tWORD,CITY\tDETACH
LEXENTRY:\tALBERTA\tALBERTA\tWORD,CITY\tDETACH
LEXENTRY:\tALBERTON\tALBERTON\tWORD,CITY\tDETACH
LEXENTRY:\tALBERTON WEST\tALBERTON WEST\tWORD,CITY\tDETACH
LEXENTRY:\tALBERT PARK\tALBERT PARK\tWORD,CITY\tDETACH
LEXENTRY:\tALBINIA\tALBINIA\tWORD,CITY\tDETACH
LEXENTRY:\tALBION\tALBION\tWORD,CITY\tDETACH
LEXENTRY:\tALBION PARK\tALBION PARK\tWORD,CITY\tDETACH
LEXENTRY:\tALBION PARK RAIL\tALBION PARK RAIL\tWORD,CITY\tDETACH
LEXENTRY:\tALBURY\tALBURY\tWORD,CITY\tDETACH
LEXENTRY:\tALCOMIE\tALCOMIE\tWORD,CITY\tDETACH
LEXENTRY:\tALDAVILLA\tALDAVILLA\tWORD,CITY\tDETACH
LEXENTRY:\tALDERLEY\tALDERLEY\tWORD,CITY\tDETACH
LEXENTRY:\tALDERSHOT\tALDERSHOT\tWORD,CITY\tDETACH
LEXENTRY:\tALDERSYDE\tALDERSYDE\tWORD,CITY\tDETACH
LEXENTRY:\tALDGATE\tALDGATE\tWORD,CITY\tDETACH
LEXENTRY:\tALDINGA\tALDINGA\tWORD,CITY\tDETACH
LEXENTRY:\tALDINGA BEACH\tALDINGA BEACH\tWORD,CITY\tDETACH
LEXENTRY:\tALDOGA\tALDOGA\tWORD,CITY\tDETACH
LEXENTRY:\tALECTOWN\tALECTOWN\tWORD,CITY\tDETACH
LEXENTRY:\tALEXANDER HEIGHTS\tALEXANDER HEIGHTS\tWORD,CITY\tDETACH
LEXENTRY:\tALEXANDRA\tALEXANDRA\tWORD,CITY\tDETACH
