select sum(cnt) as sum, inclass from (
    select name, pat, cnt, string_agg(word, '|' order by seq) as words,
           string_agg(inclass, '|' order by seq) as inclass
        from ( select l_stname_c as name, count(*) as cnt
                from rawdata.roadseg
                where l_stname_c not in ('None','Unknown')
                    and coalesce(nullif(nullif(l_hnumf, 0), -1),
                    nullif(nullif(l_hnuml, 0), -1),
                    nullif(nullif(r_hnumf, 0), -1),
                    nullif(nullif(r_hnuml, 0), -1)) is not null
                group by name
       ) as a,
       as_config as cfg,
       LATERAL as_parse( name, clexicon, 'fr_CA', 'SPACE,STOPWORD,DASH,PUNCT')
as std
    where cfg.id=26
    group by name, pat, cnt) as foo
group by inclass
order by sum desc;

Successfully run. Total query runtime: 21 min 33 secs. 921 rows affected.


"145"   "NUMBER,QUINT|WORD,TYPE|NUMBER|WORD,SINGLE"
"144"   "WORD|WORD,TYPE|NUMBER|AMPERS|NUMBER"
"142"   "WORD|NUMBER|WORD,TYPE|WORD,DIRECT"
"138"   "WORD,TYPE|WORD|WORD,DOUBLE|WORD"
"136"   "WORD,TYPE|WORD,SINGLE"
"136"   "DIRECT|WORD,TYPE|WORD,TYPE|WORD,TYPE"
"135"   "MIXED|WORD,TYPE|WORD,TYPE"
"130"   "WORD|WORD,TYPE|DIRECT|WORD,DIRECT|DIRECT"
"128"   "NUMBER|WORD,SINGLE|WORD,TYPE|DIRECT|WORD,DIRECT"
"125"   "NUMBER|WORD,SINGLE|WORD,TYPE|WORD,DIRECT"
"125"   "NUMBER,QUINT|WORD|WORD,TYPE|NUMBER|WORD,SINGLE"
"125"   "DIRECT|WORD,TYPE|WORD|WORD,TYPE"
"123"   "NUMBER|WORD,SINGLE|WORD,TYPE|DIRECT"
"123"   "WORD,TYPE|NUMBER|WORD,SINGLE|WORD,DOUBLE|NUMBER|WORD,SINGLE|DIRECT"
"122"   "NUMBER|WORD,TYPE|WORD"
"121"   "WORD,TYPE|NUMBER|WORD,SINGLE|WORD,DOUBLE|NUMBER|WORD,SINGLE"
"119"   "WORD,TYPE|WORD|WORD|WORD|DIRECT"
"118"   "WORD,TYPE|WORD,SINGLE|WORD|WORD"
"117"   "WORD,SINGLE|NUMBER"
"117"   "WORD|WORD,TYPE|WORD,DIRECT|WORD,DIRECT|DIRECT"
"116"   "NUMBER|WORD|WORD,TYPE|NUMBER"
"114"   "WORD,TYPE|WORD,PROV|DIRECT"
"113"   "WORD,TYPE|WORD,PROV"
"113"   "WORD|DIRECT"
"112"   "WORD|WORD,TYPE|WORD"
"112"   "WORD|WORD,DIRECT|WORD,TYPE"
"112"   "WORD,TYPE|WORD,TYPE|WORD|WORD,DIRECT"
"106"   "WORD,TYPE|WORD|WORD,TYPE|WORD"
"105"   "WORD,TYPE|NUMBER|WORD,DOUBLE"
"105"   "WORD|WORD,TYPE|WORD,DIRECT|WORD,TYPE"
"105"   "NUMBER|WORD,SINGLE|WORD,TYPE|WORD,TYPE"
"104"   "WORD|NUMBER|WORD,SINGLE|WORD,TYPE"
"101"   "NUMBER,QUAD|WORD,TYPE"
"100"   "DIRECT|WORD|WORD,TYPE|NUMBER"
"99"    "WORD,TYPE|WORD,TYPE|WORD,TYPE|WORD,DIRECT"
"99"    "DIRECT|WORD,TYPE|DIRECT"
"96"    "WORD,TYPE|WORD|WORD,SINGLE"
"95"    "WORD,PROV|WORD,TYPE|DIRECT"
"95"    "WORD|WORD|WORD,TYPE|WORD,DIRECT|WORD,DIRECT"
"93"    "WORD,SINGLE|WORD,TYPE"
"93"    "NUMBER,QUINT|WORD,TYPE|WORD,TYPE|NUMBER|WORD,SINGLE"
"93"    "WORD,TYPE|WORD,TYPE|NUMBER|AMPERS|NUMBER"
"92"    "WORD,DIRECT|WORD|WORD|WORD,TYPE"
"91"    "NUMBER|WORD|WORD,TYPE|WORD,TYPE|DIRECT|DIRECT"
"91"    "WORD,TYPE|WORD|WORD,SINGLE|WORD|WORD,DIRECT"
"90"    "WORD,TYPE|WORD,TYPE|NUMBER|WORD,DIRECT"
"89"    "DIRECT|WORD|WORD|WORD,TYPE"
