select sum(cnt) as sum,  sum(cnt)::float/2250481.0 as pct, inclass from (
  select name, cnt, string_agg(word, '|' order by seq) as words,
string_agg(inclass, '|' order by seq) as inclass
    from ( select clean_placenames(l_placenam) as name, count(*) as cnt from
rawdata.roadseg where l_placenam not in ('None','Unknown') group by name) as
a,
         as_config as cfg,
         LATERAL as_parse( name, clexicon, 'fr_CA',
'SPACE,STOPWORD,DASH,PUNCT') as std
   where cfg.id=26
   group by name, cnt
) as foo
group by inclass
order by sum desc;

Successfully run. Total query runtime: 6 min 50 secs. 205 rows affected. pg11

Total record count: 2,250,481 

"58"    "WORD,TYPE|WORD|WORD,TYPE|WORD|WORD,TYPE"
"57"    "WORD|NUMBER|WORD,TYPE|WORD"
"54"    "WORD|WORD,DOUBLE|WORD|WORD,TYPE|WORD|WORD|NUMBER|WORD,SINGLE"
"53"    "WORD,TYPE|WORD,TYPE|WORD,DIRECT"
"53"    "WORD,DOUBLE|WORD,DOUBLE|WORD,TYPE"
"53"    "WORD|WORD|WORD,SINGLE|WORD,TYPE|WORD|WORD,SINGLE|WORD|WORD|WORD,TYPE"
"50"    "WORD|WORD,TYPE|WORD,TYPE|WORD|WORD,TYPE"
"50"    "DIRECT|DIRECT|WORD,TYPE"
"50"    "DIRECT|WORD|NUMBER"
"48"    "WORD,TYPE|WORD,TYPE|WORD|WORD"
"48"    "WORD|WORD|WORD|WORD|NUMBER|WORD,SINGLE"
"48"    "WORD,TYPE|WORD|WORD|WORD,TYPE"
"41"    "WORD,DIRECT|WORD|WORD,DIRECT|WORD,DIRECT|WORD"
"40"    "WORD|WORD,DOUBLE|WORD,TYPE|WORD|NUMBER"
"37"    "WORD,TYPE|WORD|WORD,SINGLE|WORD|WORD"
"36"    "WORD|WORD|WORD|WORD|WORD"
"36"    "WORD,DIRECT|WORD,TYPE|WORD,SINGLE|WORD"
"36"    "WORD,TYPE|WORD,TYPE|NUMBER|WORD,SINGLE"
"36"    "WORD|WORD|WORD|WORD|WORD,DIRECT"
"35"    "WORD|WORD|WORD,TYPE|WORD|NUMBER|WORD,SINGLE"
"33"    "WORD|WORD,DOUBLE|WORD,TYPE"
"33"    "WORD|WORD,DOUBLE|WORD|WORD|WORD|NUMBER"
"32"    "WORD|WORD|WORD|WORD|WORD|WORD|WORD"
"29"    "DIRECT|WORD,TYPE|WORD,TYPE|WORD"
"29"    "DIRECT|WORD,TYPE|WORD,DOUBLE|WORD|WORD,TYPE"
"29"    "WORD|WORD,TYPE|WORD|NUMBER|NUMBER"
"28"    "WORD,DOUBLE|WORD,DOUBLE|WORD,SINGLE|WORD,TYPE"
"27"    "WORD|WORD|WORD,TYPE|WORD,DOUBLE|WORD"
"27"
"WORD|WORD,TYPE|WORD|NUMBER|WORD,SINGLE|WORD|WORD,TYPE|WORD|WORD|NUMBER|WORD,SINGLE"
"26"    "WORD,TYPE|WORD|WORD|WORD,TYPE|WORD,TYPE|WORD|WORD,SINGLE"
"25"    "WORD,TYPE|WORD|WORD,DIRECT"
"24"    "WORD|WORD,SINGLE|WORD,TYPE|NUMBER"
"24"    "WORD,TYPE|WORD,TYPE|DIRECT|WORD|WORD|WORD,TYPE"
"23"    "DIRECT|WORD,TYPE|WORD,DOUBLE|WORD"
"22"    "WORD|WORD,PROV|NUMBER"
"20"    "DIRECT|WORD,DIRECT|WORD,TYPE"
"20"    "WORD|WORD,SINGLE|NUMBER|WORD,SINGLE"
"20"    "WORD,DIRECT|WORD,TYPE|WORD,TYPE|WORD"
"18"    "DIRECT|DIRECT|WORD,TYPE|WORD"
"18"    "WORD|WORD|WORD,SINGLE|WORD,TYPE|WORD"
"17"    "WORD|WORD,SINGLE|WORD,TYPE|WORD|NUMBER"
"15"    "WORD,TYPE|WORD|WORD|WORD,TYPE|WORD"
"15"    "WORD|WORD,SINGLE|WORD,TYPE|NUMBER|WORD,SINGLE"
"14"    "WORD|WORD|WORD,TYPE|DIRECT"
"12"    "WORD|WORD,SINGLE"
"12"    "WORD|WORD,TYPE|WORD,TYPE|WORD|NUMBER|WORD,SINGLE"
"12"    "WORD|WORD|WORD,TYPE|WORD,DIRECT"
"11"    "WORD|WORD,SINGLE|WORD,DOUBLE|WORD|WORD,TYPE"
"11"    "DIRECT|WORD,TYPE|WORD|WORD,TYPE"
"10"    "WORD|WORD|WORD,TYPE|NUMBER,QUAD"
"10"    "WORD|WORD|WORD,TYPE|NUMBER|WORD,SINGLE"
"10"    "WORD,TYPE|WORD,TYPE|DIRECT"
"10"    "WORD|WORD,TYPE|DIRECT|WORD,TYPE"
"8" "WORD,DIRECT|WORD,TYPE|WORD,DOUBLE|WORD|WORD,TYPE"
"8" "WORD|WORD,TYPE|WORD,SINGLE|WORD"
"7" "WORD,TYPE|WORD|WORD|NUMBER|WORD,SINGLE"
"7" "WORD,TYPE|WORD|WORD,SINGLE|WORD,TYPE"
"6" "WORD,DIRECT|WORD|WORD|WORD,TYPE|WORD|WORD,TYPE"
"5" "WORD,DIRECT|WORD,TYPE|WORD|WORD,TYPE"
"5" "WORD,DOUBLE|WORD,DOUBLE|WORD"
"4" "WORD|SLASH|WORD|WORD|WORD|WORD,TYPE"
"4" "WORD,DIRECT"
"4" "WORD,SINGLE|WORD|WORD|WORD,TYPE"
"4" "WORD,DOUBLE|WORD|WORD|WORD|WORD|NUMBER|WORD,SINGLE"
"4" "WORD,TYPE|WORD,TYPE|WORD|WORD,DIRECT"
"4" "WORD,TYPE|WORD,TYPE|WORD|NUMBER"
"4" "WORD,DIRECT|WORD,TYPE|WORD,TYPE|WORD|DIRECT|WORD,TYPE"
"3" "WORD|WORD,TYPE|WORD|WORD|WORD,TYPE"
"2" "WORD,TYPE|WORD|WORD|WORD,TYPE|WORD,TYPE|WORD"
"2" "WORD,DIRECT|WORD|WORD,TYPE|WORD,TYPE"
"1" "WORD|WORD|WORD,SINGLE|WORD|WORD|WORD|WORD|WORD|NUMBER"
"1" "WORD|WORD|WORD|WORD|WORD|WORD,TYPE"
"1" "WORD,TYPE|WORD,DOUBLE|WORD|WORD"
"1" "WORD|WORD,TYPE|WORD,DIRECT|WORD|WORD,TYPE"
"1" "WORD|WORD|NUMBER|NUMBER"
