                                             placename                                             |  cnt  
 New Mills                                                                                         |     8
 New Minas                                                                                         |   128
 New Norway                                                                                        |    15
 New Perlican                                                                                      |    19
 New Perth                                                                                         |    11
 New Prospect                                                                                      |     9
 New Richmond                                                                                      |   102
 New River Beach                                                                                   |    14
 New Ross                                                                                          |     9
 New Russell                                                                                       |    36
 New Salem                                                                                         |     4
 New Sarepta                                                                                       |    14
 New Scotland                                                                                      |     4
 New Truro Road                                                                                    |     2
 New Tusket                                                                                        |    10
 New Victoria                                                                                      |    31
 New Waterford                                                                                     |   145
 New Westminster                                                                                   |   342
 New Zealand                                                                                       |     2
 New Zion                                                                                          |     5
 Newbridge                                                                                         |     6
 Newbrook                                                                                          |     3
 Newburg                                                                                           |     7
 Newburne                                                                                          |    24
 Newcastle Centre                                                                                  |     5
 Newcastle Creek                                                                                   |     9
 Newcomb Corner                                                                                    |     7
 Newcombville                                                                                      |    12
 Newell No. 4, County of                                                                           |   245
 Newellton                                                                                         |    12
 Newgate                                                                                           |    15
 Newport                                                                                           |    39
 Newport Corner                                                                                    |    13
 Newport Station                                                                                   |    15
 Newton                                                                                            |     5
 Newton Mills                                                                                      |    12
 Newtonville                                                                                       |    10
 Newtown                                                                                           |    19
 Newtown Cross                                                                                     |     3
 Neyaashiinigmiing                                                                                 |    35
 Nicholas Denys                                                                                    |     3
 Nicholsville                                                                                      |     6
 Nicola Lake                                                                                       |    47
 Nicolet                                                                                           |   171
 Nictau                                                                                            |     2
 Nictaux                                                                                           |    36
 Nictaux Falls                                                                                     |     8
 Nictaux South                                                                                     |     7
 Nictaux West                                                                                      |     3
 Nigadoo                                                                                           |    27
 Nimpo Lake                                                                                        |    32
 Nine Mile Creek                                                                                   |    18
 Nine Mile River                                                                                   |    31
 Nine Mile Woods                                                                                   |     3
 Nineveh                                                                                           |     5
 Nipissing 10                                                                                      |    18
 Nippers Harbour                                                                                   |     2
 Nisku                                                                                             |    39
 Niton Junction                                                                                    |     4
 Niverville                                                                                        |    71
 Nobleford                                                                                         |    25
 Noel                                                                                              |    16
 Noel Road                                                                                         |    14
 Noel Shore                                                                                        |     4
 Noinville                                                                                         |     1
 Nominingue                                                                                        |   128
 None                                                                                              |   188
 Noonan                                                                                            |    26
 Noralee                                                                                           |    13
 Norboro                                                                                           |    12
 Nordegg                                                                                           |    15
 Norfolk County                                                                                    |  1090
 Norglenwold                                                                                       |     9
 Norman's Cove-Long Cove                                                                           |     3
 Norman Wells                                                                                      |    16
 Normandin                                                                                         |    77
 Normétal                                                                                         |    21
 Norris Arm                                                                                        |    13
 Norris Beach                                                                                      |     7
 Norris Point                                                                                      |    30
 North Ainslie                                                                                     |     5
 North Alton                                                                                       |    23
 North Bedeque                                                                                     |    22
 North Bonaparte                                                                                   |    38
 North Brookfield                                                                                  |    12
 North Carleton                                                                                    |    15
 North Chegoggin                                                                                   |    18
 North Cooking Lake                                                                                |     9
 North Cypress                                                                                     |    61
 North East Harbour                                                                                |     3
 North East Margaree                                                                               |    11
 North East Point                                                                                  |    28
 North Enmore                                                                                      |     8
 North Falkland                                                                                    |    21
 North Forks                                                                                       |     6
 North Gables                                                                                      |    15
 North Grand Pré                                                                                  |    18
 North Grant                                                                                       |    10
 North Greville                                                                                    |     1
 North Hatley                                                                                      |    36
 North Intervale                                                                                   |     6
 North Kelly                                                                                       |    25
 North Kemptville                                                                                  |    18
 North Kentville                                                                                   |    88
 North Kingston                                                                                    |    17
 North Lake                                                                                        |    19
 North Lochaber                                                                                    |     9
 North Mara                                                                                        |    22
 North Medford                                                                                     |     2
 North Milton                                                                                      |     5
 North Noel Road                                                                                   |    15
 North Norfolk                                                                                     |    42
 North Pine                                                                                        |    14
 North Preston                                                                                     |    28
 North Range                                                                                       |    25
 North River                                                                                       |    69
 North River Bridge                                                                                |     6
 North River Centre                                                                                |     1
 North Riverside                                                                                   |     3
 North Rustico                                                                                     |    47
 North Saanich                                                                                     |   300
 North Salem                                                                                       |     9
 North Shannonvale                                                                                 |     1
 North Shore                                                                                       |    63
 North Spirit Lake                                                                                 |     1
 North St Eleanors                                                                                 |     9
 North Star                                                                                        |     3
 North Sydney                                                                                      |   159
 North Tay                                                                                         |     3
 North Tetagouche                                                                                  |    31
 North Thompson IR                                                                                 |     5
 North Tryon                                                                                       |     8
 North Vancouver                                                                                   |   916
 North View                                                                                        |     1
 North Wallace                                                                                     |     8
 North Wallace Bay                                                                                 |     1
 North West Arm                                                                                    |    13
 North West Harbour                                                                                |     3
 North West River                                                                                  |    19
 North Westside                                                                                    |   110
 North Williamston                                                                                 |     5
 North Wiltshire                                                                                   |     6
 North Winsloe                                                                                     |     4
 Northam                                                                                           |     7
 Northampton                                                                                       |    14
 Northeast Mabou                                                                                   |     7
 Northern Arm                                                                                      |    11
 Northern Harbour                                                                                  |     3
 Northern Lights, County of                                                                        |   178
 Northern Sunrise County                                                                           |    84
 Northfield                                                                                        |    17
 Northport                                                                                         |    49
 Norths Corner                                                                                     |     9
 Northside East Bay                                                                                |    24
 Northville                                                                                        |     2
 Northwest                                                                                         |     4
 Northwest Cove                                                                                    |    20
 Northwest Territories, unorganized                                                                |     7
 Norton                                                                                            |    45
 Nortondale                                                                                        |     5
 Norway                                                                                            |     7
 Norway House 17                                                                                   |    24
 Norwood                                                                                           |     6
 Notch Hill                                                                                        |    17
 Notikewin                                                                                         |     1
 Notre-Dame                                                                                        |    43
 Notre-Dame-Auxiliatrice-de-Buckland                                                               |    41
 Notre-Dame-de-Bonsecours                                                                          |    23
 Notre-Dame-de-Ham                                                                                 |    26
 Notre-Dame-de-l'Île-Perrot                                                                       |   171
 Notre-Dame-de-la-Merci                                                                            |   113
 Notre-Dame-de-la-Paix                                                                             |    30
 Notre-Dame-de-la-Salette                                                                          |    54
 Notre-Dame-de-Lorette                                                                             |    11
 Notre-Dame-de-Lourdes                                                                             |    93
 Notre-Dame-de-Montauban                                                                           |    84
 Notre-Dame-de-Pontmain                                                                            |   122
 Notre-Dame-de-Stanbridge                                                                          |    21
 Notre-Dame-des-Anges                                                                              |     4
 Notre-Dame-des-Bois                                                                               |    96
 Notre-Dame-des-Erables                                                                            |     5
 Notre-Dame-des-Monts                                                                              |    16
 Notre-Dame-des-Neiges                                                                             |    50
 Notre-Dame-des-Pins                                                                               |    29
 Notre-Dame-des-Prairies                                                                           |   149
 Notre-Dame-des-Sept-Douleurs                                                                      |     8
 Notre-Dame-du-Bon-Conseil                                                                         |    54
 Notre-Dame-du-Laus                                                                                |   160
 Notre-Dame-du-Mont-Carmel                                                                         |   137
 Notre-Dame-du-Nord                                                                                |    45
 Notre-Dame-du-Portage                                                                             |    21
 Notre-Dame-du-Rosaire                                                                             |    19
 Notre-Dame-du-Sacré-Coeur-d'Issoudun                                                             |    31
 Notre Dame de Lourdes                                                                             |    30
 Nouvelle                                                                                          |    35
 Noyan                                                                                             |   106
 Nuttby                                                                                            |     8
 Nyanza                                                                                            |    11
 O'Chiese #203                                                                                     |    23
 O'Leary                                                                                           |    24
 Oak Bay                                                                                           |   252
 Oak Haven                                                                                         |     8
 Oak Hill                                                                                          |     7
 Oak Lake                                                                                          |    18
 Oak Mountain                                                                                      |     2
 Oak Park                                                                                          |     8
 Oak Point                                                                                         |    19
 Oakfield                                                                                          |    17
 Oakhill                                                                                           |    13
 Oakland                                                                                           |    66
 Oakville                                                                                          |     1
 Oasis                                                                                             |    19
 Oban                                                                                              |     6
 Obedjiwan                                                                                         |    16
 Ocean Falls                                                                                       |    18
 Ocean View                                                                                        |     2
 Ochre River                                                                                       |    19
 Odanah                                                                                            |    15
 Odanak                                                                                            |    14
 Odell                                                                                             |     5
 Ogden                                                                                             |    62
 Ogilvie                                                                                           |     5
 Ohaton                                                                                            |     9
 Ohio                                                                                              |     7
 Oka                                                                                               |    85
 Okanagan Falls                                                                                    |   105
 Okanagan IR North                                                                                 |    13
 Okanagan IR South                                                                                 |    95
 Okotoks                                                                                           |   332
 Olalla                                                                                            |    22
 Old Avon                                                                                          |     4
 Old Barns                                                                                         |    10
 Old Crow                                                                                          |     1
 Old Entrance                                                                                      |     5
 Old Perlican                                                                                      |    47
 Old Ridge                                                                                         |    19
 Oldham                                                                                            |     4
 Olds                                                                                              |   112
 Oliver                                                                                            |   369
 One Island Lake                                                                                   |     5
 Oneida 41                                                                                         |    17
 Onoway                                                                                            |    31
 Onslow Mountain                                                                                   |    22
 Oona River                                                                                        |     1
 Ootischenia                                                                                       |    48
 Ootsa Lake                                                                                        |    24
 Opal                                                                                              |     1
 Opaskwayak Cree Nation 21A                                                                        |    16
 Opaskwayak Cree Nation 21B                                                                        |     1
 Opaskwayak Cree Nation 21C                                                                        |     1
 Opaskwayak Cree Nation 21E                                                                        |    22
 Opaskwayak Cree Nation 21I                                                                        |     2
 Opportunity No. 17, M.D. of                                                                       |    33
 Orange Hill                                                                                       |     6
 Orangedale                                                                                        |    14
 Orangedale East                                                                                   |     5
 Oregon                                                                                            |     2
 Orford                                                                                            |   228
 Orion                                                                                             |     7
 Ormstown                                                                                          |    74
 Oromocto                                                                                          |   180
 Orton                                                                                             |     7
 Orwell                                                                                            |     9
 Orwell Cove                                                                                       |     7
 Osborn                                                                                            |     7
 Osborne Corner                                                                                    |     2
 Osborne Harbour                                                                                   |     5
 Osoyoos                                                                                           |   258
 Ostrea Lake                                                                                       |     9
 Ottawa Brook                                                                                      |     8
 Otter Brook                                                                                       |     5
 Otter Creek                                                                                       |     1
 Otter Lake                                                                                        |    88
 Otter Point                                                                                       |    53
 Otterburn Park                                                                                    |    93
 Oujé-Bougoumou                                                                                   |    13
 Outer Cove                                                                                        |     1
 Outram                                                                                            |     4
 Overton                                                                                           |    13
 Oweekeno                                                                                          |     7
 Owls Head                                                                                         |     6
 Oxbow                                                                                             |     4
 Oxford                                                                                            |    64
 Oxford House 24                                                                                   |     2
 Oxford Junction                                                                                   |    12
 Oyen                                                                                              |    32
 Oyster Bed Bridge                                                                                 |    27
 Oyster Pond                                                                                       |    14
 Pabineau Falls                                                                                    |     2
 Pabineau First Nation                                                                             |    13
 Pace Settlement                                                                                   |     2
 Pacific Rim Park South                                                                            |     1
 Packington                                                                                        |    29
 Pacquet                                                                                           |    11
 Paddle Prairie (Metis Settlement)                                                                 |     8
 Padoue                                                                                            |    16
 Paintearth No. 18, County of                                                                      |   128
 Pakashan #150D                                                                                    |     1
 Pakuashipi                                                                                        |     1
 Palling                                                                                           |    25
 Palmarolle                                                                                        |    37
 Palmer Road                                                                                       |     9
 Pangnirtung                                                                                       |     1
 Panmure Island                                                                                    |    16
 Panorama                                                                                          |    15
 Papineauville                                                                                     |    54
 Paqtnkek-Niktuek 23                                                                               |    39
 Paquetville                                                                                       |    16
 Paradise                                                                                          |   322
 Paradise Valley                                                                                   |    14
 Parisville                                                                                        |    17
 Park (South)                                                                                      |    35
 Park Corner                                                                                       |    30
 Parkdale                                                                                          |    19
 Parker Island                                                                                     |     2
 Parker Ridge                                                                                      |     4
 Parker Road                                                                                       |     2
 Parkers Cove                                                                                      |    13
 Parkindale                                                                                        |     9
 Parkland                                                                                          |    12
 Parkland Beach                                                                                    |    16
 Parkland County                                                                                   |   525
 Parksville                                                                                        |   395
 Parlee Brook                                                                                      |     2
 Parleeville                                                                                       |     1
 Parrsboro                                                                                         |    56
 Parry Island First Nation                                                                         |     1
 Parsnip                                                                                           |     6
 Parson                                                                                            |    18
 Parson's Pond                                                                                     |    15
 Pasadena                                                                                          |    86
 Paspébiac                                                                                        |    39
 Pass Creek                                                                                        |    25
 Passekeag                                                                                         |    18
 Passes-Dangereuses                                                                                |    14
 Passmore                                                                                          |    15
 Patricia                                                                                          |     8
 Paul Lake                                                                                         |    19
 Paulatuk                                                                                          |     1
 Pavilion                                                                                          |    19
 Pays Plat 51                                                                                      |     1
 Peace No. 135, M.D. of                                                                            |    68
 Peace Point #222                                                                                  |     1
 Peace River                                                                                       |   113
 Peachland                                                                                         |   191
 Peakes                                                                                            |     9
 Pearsonville                                                                                      |     6
 Peas Brook                                                                                        |     3
 Peavine                                                                                           |     2
 Peejay                                                                                            |     4
 Peel                                                                                              |     3
 Peers                                                                                             |     7
 Peggys Cove                                                                                       |     5
 Peggys Cove Preservation Area                                                                     |     4
 Peguis 1B                                                                                         |     6
 Peigan #147                                                                                       |    21
 Peigan (Timber Limit) #147B                                                                       |     1
 Pelerin                                                                                           |     2
 Pelican Narrows                                                                                   |    13
 Pelican Point                                                                                     |    17
 Pelly Crossing                                                                                    |     3
 Peltoma Settlement                                                                                |     9
 Pemberton                                                                                         |    84
 Pemberton Meadows                                                                                 |    22
 Pemberton Ridge                                                                                   |     2
 Pembina                                                                                           |    38
 Pembroke                                                                                          |    30
 Penask Summit                                                                                     |    10
 Pend D'Oreille                                                                                    |     6
 Pender Harbour                                                                                    |     7
 Pender Island                                                                                     |   128
 Penelakut Island                                                                                  |    20
 Penhold                                                                                           |    59
 Pennal 19                                                                                         |     2
 Pennfield                                                                                         |    59
 Penniac                                                                                           |    24
 Penobsquis                                                                                        |    40
 Penticton                                                                                         |   530
 Pentz                                                                                             |     6
 Percé                                                                                            |    71
 Pereau                                                                                            |     5
 Péribonka                                                                                        |    28
 Perotte                                                                                           |     2
 Perry Settlement                                                                                  |     6
 Perry Siding                                                                                      |    31
 Perth-Andover                                                                                     |    75
 Pessamit                                                                                          |    28
 Peters Road                                                                                       |     6
 Peterview                                                                                         |    10
 Peterville                                                                                        |     6
 Petit-Cap                                                                                         |    18
 Petit-de-Grat                                                                                     |    17
 Petit-Paquetville                                                                                 |     7
 Petit-Rocher                                                                                      |    50
 Petit-Rocher-Nord                                                                                 |    20
 Petit-Rocher-Ouest                                                                                |    13
 Petit-Rocher-Sud                                                                                  |    17
 Petit-Saguenay                                                                                    |    35
 Petit-Shippagan                                                                                   |    16
 Petit-Tracadie                                                                                    |    12
 Petit Étang                                                                                      |    20
 Petitcodiac                                                                                       |    56
 Petitcodiac East                                                                                  |    13
 Petitcodiac West                                                                                  |     3
 Petite-Lameque                                                                                    |    23
 Petite-Riviere-de l'Ile                                                                           |    12
 Petite-Rivière-Saint-François                                                                   |    85
 Petite-Vallée                                                                                    |    15
 Petite Rivière                                                                                   |    18
 Pettigrew Settlement                                                                              |     1
 Petty Harbour-Maddox Cove                                                                         |    14
 Philamunroe                                                                                       |     4
 Philips Harbour                                                                                   |     7
 Phinneys Cove                                                                                     |     6
 Pibroch                                                                                           |     9
 Pic Mobert Reserve South                                                                          |     5
 Pic River 50                                                                                      |     6
 Picadilly                                                                                         |    14
 Picard                                                                                            |     5
 Pickardville                                                                                      |    10
 Picketts Cove                                                                                     |     1
